ID;Nombre;ID regra de impuestos;Precio impuestos incluidos;En oferta;Valor del descuento;Porcentaje de descuento;Descuento desde fecha;Descuento hasta fecha;Referencia Nº;Referencia Nº Proveedor;Precio impuestos excluidos;Marca;EAN13;UPC;Ecotasa;Anchura;Altura;Profundidad;Peso;Plazo de entrega con stock;Plazo de entrega sin stock;Cantidad;Cantidad minima;Nivel de stock bajo;Enviame un correo cuando stock bajo;Visible;Costo adicional de envio;Unidad precio;Precio unitario;Resumen;Descripcion larga;Etiquetas;Meta-titulo;meta-keywords;meta-descripcion;url-reescrita;etiqueta con stock;etiqueta en espera;disponible pedidos;fecha disponible;fecha creacion;mostrar precio;URL's de las imágenes;Texto alternativo;Elimine las imagenes existentes;Caracteristicas;Solo disponible por internet;
;Frigobar Mabe rmc090nesy0 2 puertas 90l silver;1;911000;;;;;;HEMRMC090NESY0;;;MABE;757638351614;;;47,00;83,70;49,20;48,39;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMRMC090NESY0.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Afeitadora rotativa Philips hq6904/16 seco cabezas closecut solo cable 100-240v;1;222000;;;;;;EDPCPAHQ690416;;;PHILIPS;8710103681359;;;11,40;16,40;6,70;0,32;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPCPAHQ690416.jpg;;;Marca:PHILIPS&Producto:AFEITADORAS&Segmento:CUIDADO PERSONAL&Vendedor:Sara Comercial;;
;Frigobar Mabe rmf04hv1 1 puerta 110l negro;1;911000;;;;;;HEMRMF04HV1;;;MABE;7502271278858;;;47,00;85,00;44,50;44,44;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMRMF04HV1.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Generador Ducati dgr3200;1;2207000;;;;;;GFDUDGR3200;;;DUCATI;8435389587255;;;50,00;50,00;62,50;45,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR3200.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;;
;Generador Ducati dgr5500;1;3645000;;;;;;GFDUDGR5500;;;DUCATI;8435389587316;;;58,50;59,00;72,50;78,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR5500.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;;
;Generador Ducati dgr8000e;1;4658000;;;;;;GFDUDGR8000E;;;DUCATI;8435478299830;;;58,50;59,00;72,50;100,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/GFDUDGR8000E.jpg;;;Marca:DUCATI&Producto:GENERADORES&Segmento:MAQUINARIAS&Vendedor:Sara Comercial;;
;Heladera Mabe hme350bl frio/humedo 350l 2 puertas blanca;1;1944000;;;;;;HEMHME350BL;;;MABE;7797102523997;;;58,50;169,00;73,60;181,91;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMHME350BL.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Heladera Mabe rmc215 frio/humedo 2 puertas 200l blanca;1;1625000;;;;;;HEMRMC215PURB0;;;MABE;757638362931;;;58,00;146,20;58,00;122,95;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMRMC215PURB0.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Heladera Mabe rmc215 frio/humedo 2 puertas 200l plata oscuro;1;1665000;;;;;;HEMRMC215PURR0;;;MABE;757638362948;;;58,00;146,20;58,00;122,95;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMRMC215PURR0.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Heladera Mabe rmc390 frio/humedo 390l 2 puertas c/disp plata;1;3524000;;;;;;HEMRMC390FAME;;;MABE;7704712031064;;;79,60;178,00;70,80;250,79;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/HEMRMC390FAME.jpg;;;Marca:MABE&Producto:HELADERAS FRIO HUMEDO&Segmento:REFRIGERACION&Vendedor:Sara Comercial;;
;Hervidora b+d  mod. ke22591-cl 1.7l 2400w;1;168000;;;;;;EDBDKE22591CL;;;BLACK & DECKER;050875824638;;;1,00;1,00;1,00;0,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDKE22591CL.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora b+d ke21441-cl 1.7l con filtro 2000w 220v;1;105000;;;;;;EDBJKE21441CL-RT;;;BLACK & DECKER;050875821019;;;20,00;22,80;14,00;1,60;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBJKE21441CL-RT.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora black&decker ke002w-ar fun mate tem var 1/7l ind niv agua 2000w220v;1;264000;;;;;;EDBDJKE002WAR;;;BLACK & DECKER;050875810525;;;22,40;17,00;20,60;1,96;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDJKE002WAR.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora black&decker ke003s-ar inox dig 1/7l indi niv agua filt 2400w220v;1;371000;;;;;;EDBDJKE003SAR;;;BLACK & DECKER;050875810532;;;24,70;18,90;22,90;2,67;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDJKE003SAR.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora black&decker ke21470-cl 1/7l indi niv agua filt extrab 2000w220v;1;103000;;;;;;EDBDJKE21470CL;;;BLACK & DECKER;050875817029;;;19,00;22,20;19,00;2,00;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDBDJKE21470CL.jpg;;;Marca:BLACK & DECKER&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora Philips hd9306/21 1/5l ind niv agua fil p/sarro inox 1800w220v;1;231000;;;;;;EDPHD930621-RT;;;PHILIPS;8710103865636;;;18,70;23,10;18,70;2,02;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPHD930621-RT.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
;Hervidora Philips hd9351/90 1/7l ind niv agua fil p/sarro inox 2200w220v;1;361000;;;;;;EDPJHD935190-RT;;;PHILIPS;8710103828693;;;22,80;25,20;19,80;2,84;;;3;;;;;;;;;;;;;;;;;;;;;http://181.40.23.235:8199/files/imagenes/productos/EDPJHD935190-RT.jpg;;;Marca:PHILIPS&Producto:JARRAS ELECTRICAS&Segmento:PEQUEÑOS ELECTRODOMESTICOS&Vendedor:Sara Comercial;;
